,name,main_category,categories,rating,reviews,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
0,Shri Sai Baba Temple Shirdi,Hindu temple,"Hindu temple, Place of worship",4.7,69636.0,"QF8G+J6Q Shri Sai Baba Temple Shirdi, Mauli Nagar, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Religious,327289.2,4.69,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
1,"Prasadalaya Shirdi , Saibaba Mandir",Hindu temple,"Hindu temple, Tourist attraction",4.7,63563.0,"Prasadalaya Shirdi , Saibaba Mandir, New Prasadalaya Rd, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Religious,298746.10000000003,4.69,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
2,Sai Heritage Village,Heritage museum,"Heritage museum, Art museum, History museum, Tourist attraction",4.3,7203.0,"Sai Heritage Village, AHMEDNAGAR-MANMAD HIGHWAY SHIRDI, TALUKA, Rahata, Maharashtra 423107",Shirdi,India,Maharashtra,423107,Cultural,30972.899999999998,4.49,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
3,Shree Saibaba Chavadi,Hindu temple,"Hindu temple, Tourist attraction",4.8,372.0,"Shree Saibaba Chavadi, Shirdi - Puntamba Rd, Mauli Nagar, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Religious,1785.6,4.69,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
4,Chhatrapati Sambhaji Park,Garden,Garden,4.3,362.0,"Chhatrapati Sambhaji Park, Sai Nagar, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Nature,1556.6,4.35,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
5,Shri Khandoba Mandir,Hindu temple,"Hindu temple, Tourist attraction",4.7,829.0,"QF7G+HCF Shri Khandoba Mandir, Sai Nagar, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Religious,3896.3,4.69,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
6,Lendi Garden / Baug,Park,Park,4.5,212.0,"QF8G+C9R Lendi Garden / Baug, MH SH 10, Mauli Nagar, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Nature,954.0,4.35,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
7,Dixit Wada Museum,Museum,"Museum, Tourist attraction",4.4,185.0,"QF8G+HM4 Dixit Wada Museum, Mauli Nagar, Shirdi, Maharashtra 423109",Shirdi,India,Maharashtra,423109,Cultural,814.0000000000001,4.49,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
8,Mehrangarh Fort,Historical landmark,"Historical landmark, Museum, Tourist attraction",4.6,64043.0,"Mehrangarh Fort, Fort Rd, Sodagaran Mohalla, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Cultural,294597.8,4.51,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
9,Jaswant Thada,Historical place museum,"Historical place museum, Historical place, Tourist attraction",4.4,13038.0,"Jaswant Thada, Lawaran, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Cultural,57367.200000000004,4.51,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
10,Rao Jodha Desert Rock Park,Park,"Park, Tourist attraction",4.2,2595.0,"8237+5QG Rao Jodha Desert Rock Park, Mehrangarh, Fort Rd, Kabir Nagar, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Nature,10899.0,4.38,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
11,Toorji Ka Jhalra Bavdi,Historical landmark,"Historical landmark, Tourist attraction",4.3,6643.0,"Toorji Ka Jhalra Bavdi, Makrana Mohalla, Sutharo Ka Bass Rd, Gulab Sagar, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Cultural,28564.899999999998,4.51,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
12,Ummed Garden,Park,"Park, Garden, Tourist attraction",4.2,1328.0,"Ummed Garden, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Nature,5577.6,4.38,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
13,"Sardar Government Museum, Jodhpur",Museum,"Museum, Tourist attraction",4.3,277.0,"72RJ+PXC Sardar Government Museum, Jodhpur, Maliyo St Baldev Ram Mirdha Paota, Sri Ganganagar, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Cultural,1191.1,4.51,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
14,Sheesh Palace,Museum,"Museum, Tourist attraction",4.7,160.0,"72X9+MQR Sheesh Palace, Mehrangarh Ft Rd, Sodagaran Mohalla, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Cultural,752.0,4.51,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
15,Jai Pol,Historical landmark,"Historical landmark, Tourist attraction",4.4,108.0,"72X9+WR7 Jai Pol, Sodagaran Mohalla, Jodhpur, Rajasthan 342001",Jodhpur,India,Rajasthan,342001,Cultural,475.20000000000005,4.51,"Ajmer, Bikaner, Chittorgarh, Jaipur, Jaisalmer, Jodhpur, Mount, Pushkar, Ranthambore, Udaipur"
16,Arulmigu Manakula Vinayagar Devasthanam,Hindu temple,"Hindu temple, Tourist attraction",4.7,20058.0,"WRPM+8F7 Arulmigu Manakula Vinayagar Devasthanam, Manakula Vinayagar Koil St, White Town, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Religious,94272.6,4.67,Pondicherry
17,Bharathi Park Puducherry,Park,"Park, Tourist attraction",4.2,7490.0,"Bharathi Park Puducherry, 20, Rue Saint Gilles Street, White Town, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Nature,31458.0,4.44,Pondicherry
18,Rock Beach,Public beach,"Public beach, Tourist attraction",4.5,28430.0,"Rock Beach, 23, Laporte St, MG Road Area, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Nature,127935.0,4.44,Pondicherry
19,Puducherry Museum,Museum,"Museum, Tourist attraction",4.1,7288.0,"Puducherry Museum, near rock beach, nearby romain Rollen Library, White Town, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Cultural,29880.799999999996,4.14,Pondicherry
20,Immaculate Conception Cathedral,Catholic cathedral,"Catholic cathedral, Catholic church, Church, Tourist attraction",4.5,3197.0,"Immaculate Conception Cathedral, 204, Mission St, MG Road Area, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Religious,14386.5,4.67,Pondicherry
21,Sri Varadaraja Perumal Temple,Hindu temple,"Hindu temple, Tourist attraction",4.7,2208.0,"WRRJ+924 Sri Varadaraja Perumal Temple, Mahatma Gandhi Rd, Heritage Town, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Religious,10377.6,4.67,Pondicherry
22,Mahakavi Bharathiyar Memorial Centre,Museum,"Museum, Tourist attraction",4.6,643.0,"Mahakavi Bharathiyar Memorial Centre, No.20, Eswaran Dharmaraja Kovil St, Viratipatu, Heritage Town, Puducherry, 605001",Pondicherry,India,Puducherry,605001,Cultural,2957.7999999999997,4.14,Pondicherry
23,Raja Dinkar Kelkar Museum,Museum,"Museum, Tourist attraction",4.4,10865.0,"Raja Dinkar Kelkar Museum, No. 1377/78, Kamal Kunj, Bajirao Rd, Natu Baag, Shukrawar Peth, Pune, Maharashtra 411002",Pune,India,Maharashtra,411002,Cultural,47806.00000000001,4.49,"Ahmedabad, Ajanta, Alibaug, Aurangabad, Bombay, Khandala, Lavasa, Lonavala, Mahabaleshwar, Matheran, Mumbai, Nashik, Pune, Shirdi"
